Uuid,Void/Retire,Name,Description
a2327745-2970-4752-ac8a-dd0ba131f40e,,Facility Location,"Ubicación de la instalación"
b8bbf83e-645f-451f-8efe-a0db56f09676,,Login Location,"Cuando un usuario inicia sesión y elige una ubicación de sesión, solo puede seleccionar una con esta etiqueta."
099567f6-084e-11f1-aa64-726ee98ad27d,,Queue Location,"Ubicación de colas."
f5b9737b-14d5-402b-8475-dd558808e172,,Admission Location,"Los pacientes solo pueden ser admitidos para atención hospitalaria en una ubicación con esta etiqueta."
9783aba6-df7b-4969-be6e-1e03e7a08965,,Transfer Location,"Los pacientes solo pueden ser transferidos a atención hospitalaria en una ubicación con esta etiqueta."
36671c44-ce2d-47fb-b88e-bace6c85d801,,Visit Location,"Una ubicación donde un paciente puede tener una visita."
2bad843f-084e-11f1-aa64-726ee98ad27d,,Appointment Location,"Una ubicación donde un paciente puede tener una cita."
7283b326-ffa7-11ef-a541-6e848aeeeeea,,Extramural,"Una ubicación fuera del hospital"
